FID,peilmerk,x_rd,y_rd,nap_hoogte,pub_tekst,muurvlak,x_muur_cm,y_muur_cm,type,meetdatum,orde,geom
nappeilmerken.837,005H0041,173340.0,581250.0,1.478,CF 'BLACK HORSE' HOOFDSTR 18,NW,-20.0,49.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173340 581250)
nappeilmerken.838,005H0043,177780.0,581140.0,2.282,BDR BEETGUMERWEG 87,N,75.0,26.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (177780 581140)
nappeilmerken.839,005H0044,170140.0,582700.0,0.895,HS KLOOSTERWG 25,NW,83.0,30.0,PM,Mon Feb 01 00:00:00 CET 2021,2.0,POINT (170140 582700)
nappeilmerken.840,005H0049,177740.0,582730.0,2.427,BDR SIRTEMAWEG 6,ZO,33.0,43.0,PM,Thu Apr 25 00:00:00 CEST 2013,2.0,POINT (177740 582730)
nappeilmerken.841,005H0050,177780.0,582370.0,1.635,BDR SIRTEMAWEG 3,O,38.0,24.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (177780 582370)
nappeilmerken.842,005H0051,170880.0,583320.0,0.861,HS KLOOSTERWEG 28,ZO,-26.0,26.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (170880 583320)
nappeilmerken.843,005H0057,174999.0,583450.0,6.446,HK BEETGUM: 13,ZO,59.0,10.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (174999 583450)
nappeilmerken.844,005H0058,176190.0,583280.0,1.94,TOREN GK BEETGUMERMLN,Z,-49.0,37.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (176190 583280)
nappeilmerken.845,005H0064,171840.0,584760.0,1.89,BDR WIERSTERWG 10,W,-597.0,36.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171840 584760)
nappeilmerken.846,005H0065,172150.0,584060.0,4.366,HK BERLIKUM,O,71.0,31.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (172150 584060)
nappeilmerken.847,005H0066,172580.0,584270.0,3.244,HS BUORREN 97,NO,236.0,12.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (172580 584270)
nappeilmerken.848,005H0067,176310.0,584140.0,1.594,HS LANGSTRAAT 82,ZW,74.0,33.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (176310 584140)
nappeilmerken.849,005H0074,179880.0,585650.0,1.6,HS BREEDIJK 9,ZO,60.0,53.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (179880 585650)
nappeilmerken.850,005H0081,177540.0,586180.0,1.124,BDR SUDHOEKSTERMIDDELWG 1,NO,-617.0,31.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (177540 586180)
nappeilmerken.851,005H0083,178220.0,586580.0,1.193,BDR STIENSERHOGEDIJK 26,Z,289.0,47.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178220 586580)
nappeilmerken.852,005H0084,179080.0,586650.0,0.99,SCH BDR SCHILWG 38,W,-120.0,30.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (179080 586650)
nappeilmerken.853,005H0085,179680.0,586260.0,3.497,HK STIENS,O,22.0,17.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (179680 586260)
nappeilmerken.854,005H0086,179800.0,586460.0,1.382,HS LAGE HEREWEG 23,ZO,-29.0,10.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (179800 586460)
nappeilmerken.855,005H0090,179760.0,587170.0,2.639,BDR LAGE HEREWEG 43,O,-30.0,59.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (179760 587170)
nappeilmerken.856,005H0093,171980.0,578190.0,6.092,"LEUNING BR O/H HARINXMAKN, N-HFD",W,-72.0,29.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171980 578190)
nappeilmerken.857,005H0098,175290.0,582640.0,1.281,BDR BEETGUMERWG 23,Z,-475.0,42.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (175290 582640)
nappeilmerken.858,005H0102,171470.0,581260.0,0.949,HS SLAPPETERPSTERDIJK 18,O,144.0,30.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171470 581260)
nappeilmerken.859,005H0110,173000.0,580560.0,1.446,BDR RIJPSTERDIJK 21 MENALDUM,NW,574.0,26.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173000 580560)
nappeilmerken.860,005H0157,178110.0,577030.0,1.077,IJZ-PIN HS HOGEDK 4,O,-22.0,22.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178110 577030)
nappeilmerken.861,005H0159,178300.0,576590.0,1.728,HS HOGE DIJK 8,O,38.0,60.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178300 576590)
nappeilmerken.862,005H0167,179780.0,580420.0,1.342,HS LEEUWARDERSTRAATWG 129,N,30.0,75.0,PM,Thu Apr 25 00:00:00 CEST 2013,2.0,POINT (179780 580420)
nappeilmerken.863,005H0168,173870.0,575340.0,0.917,BDR NIEUW REWERD 30,ZW,33.0,36.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173870 575340)
nappeilmerken.864,005H0171,171720.0,577430.0,1.637,"HS BDR HAMMEMA STATE,LANGE BUREN 4",NO,43.0,55.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171720 577430)
nappeilmerken.865,005H0172,170440.0,578910.0,1.314,"BDR STEDEHOUDER STATE,HARLINGERSTRAATWG7",ZO,-523.0,45.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (170440 578910)
nappeilmerken.866,005H0174,172109.0,578930.0,3.586,TOREN HK DRONRIJP,W,154.0,27.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (172109 578930)
nappeilmerken.867,005H0175,178190.0,578170.0,1.12,HS IT HOLT 12,N,-52.0,39.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178190 578170)
nappeilmerken.868,005H0176,172870.0,580000.0,0.912,"ZWEMBAD SCHATZENBURG,RIJPSTERDK",Z,20.0,34.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (172870 580000)
nappeilmerken.869,005H0177,173280.0,580910.0,1.333,HS CAMSTRASTRJITTE 8,NW,22.0,25.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173280 580910)
nappeilmerken.870,005H0178,176850.0,580330.0,1.023,HS BDR RIJPSTERDK 42 MARSSUM,Z,-25.0,37.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (176850 580330)
nappeilmerken.871,005H0179,172900.0,581100.0,0.944,"HS LICHTMIS 44,MENALDUM",ZO,41.0,30.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (172900 581100)
nappeilmerken.872,005H0181,176070.0,585160.0,0.854,HS BDR HAMERENWG 6,W,45.0,44.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (176070 585160)
